24-05-10 16:54 Session started
20:40:43 102:004 > min-height: 100vh;

20:40:54 100:020 > ¨
20:40:54 100:021 > ¨d

20:40:55 101:004 > d
20:40:55 101:005 > di
20:40:55 101:006 > dis
20:40:56 101:004 > display: ;
20:40:57 101:013 > g
20:40:57 101:014 > gr
20:40:57 101:013 > grid
20:41:33 101:017 > 5
20:41:33 101:018 > 50
20:41:34 101:017 > 505
20:41:35 101:016 > 5055
20:41:35 101:017 > 50550

20:41:45 102:004 > m
20:41:45 102:005 > ma
20:41:45 102:006 > mar
20:41:46 102:007 > marg
20:41:47 102:004 > margin: ;
20:41:47 102:012 > a
20:41:47 102:012 > auto
20:41:53 102:010 > t
20:41:54 102:004 > margin-top:
20:41:54 102:016 > 1
20:41:55 102:017 > 10
20:41:55 102:018 > 100
20:41:58 102:019 > 100c
20:41:59 102:019 > 100cp
20:42:00 102:020 > 100cpc
20:42:00 102:020 > 100cpcx
20:42:00 102:016 > 100px
20:42:08 102:016 > 4
20:42:08 102:017 > 40
20:42:09 102:016 > 405
20:42:09 102:017 > 4050
20:42:09 102:018 > 4050%
20:42:09 102:016 > 50%
20:42:51 102:004 > p
20:42:52 102:005 > pl
20:42:52 102:006 > pla
20:42:52 102:007 > plac
20:42:52 102:008 > place
20:42:53 102:009 > placec
20:42:53 102:010 > placece
20:42:54 102:004 > placeceö
20:42:55 102:004 > placeceöp
20:42:55 102:005 > placeceöpl
20:42:55 102:006 > placeceöpla
20:42:56 102:007 > placeceöplac
20:42:56 102:008 > placeceöplace
20:42:57 102:004 > place-self: ;
20:42:58 102:016 > m
20:43:00 102:016 > ms
20:43:00 102:016 > msc
20:43:00 102:017 > msce
20:43:00 102:016 > var(--celadon)
20:43:02 102:014 > :
20:43:11 102:004 > place-self: center;

20:43:32 054:004 > p
20:43:32 054:005 > pl
20:43:32 054:006 > pla
20:43:32 054:007 > plac
20:43:32 054:008 > place
20:43:33 054:004 > place-content: ;
20:43:34 054:019 > s
20:43:35 054:019 > sc
20:43:35 054:020 > sce
20:43:35 054:021 > scen
20:43:35 054:022 > scent
20:43:35 054:023 > scente
20:43:35 054:024 > scenter
20:43:41 054:004 > scentera
20:43:42 054:005 > scenteral
20:43:42 054:006 > scenterali
20:43:42 054:007 > scenteralig
20:43:43 054:008 > scenteraligc
20:43:43 054:004 > align-content: ;
20:43:44 054:019 > c
20:43:44 054:020 > ce
20:43:44 054:019 > center
20:43:49 054:004 > m
20:43:49 054:005 > ma
20:43:50 054:006 > mar
20:43:50 054:007 > marg
20:43:51 054:008 > margi
20:43:53 054:004 > margin: ;
20:43:54 054:012 > auto
20:46:13 Document switched to: c:\Users\bahaa\Desktop\WebSlutProject\slutprojekt-TE22C-Baha-Fayad\Webbplats\kontakta-oss.html
----------------------------------------
20:47:33 Document switched to: c:\Users\bahaa\Desktop\WebSlutProject\slutprojekt-TE22C-Baha-Fayad\Webbplats\style.css
----------------------------------------
20:47:41 Document switched to: c:\Users\bahaa\Desktop\WebSlutProject\slutprojekt-TE22C-Baha-Fayad\Webbplats\kontakta-oss.html
----------------------------------------
20:48:00 Document switched to: c:\Users\bahaa\Desktop\WebSlutProject\slutprojekt-TE22C-Baha-Fayad\Webbplats\style.css
----------------------------------------
20:48:20 Document switched to: c:\Users\bahaa\Desktop\WebSlutProject\slutprojekt-TE22C-Baha-Fayad\Webbplats\kontakta-oss.html
----------------------------------------
20:49:41 Document switched to: c:\Users\bahaa\Desktop\WebSlutProject\slutprojekt-TE22C-Baha-Fayad\Webbplats\style.css
----------------------------------------
20:52:03 Document switched to: c:\Users\bahaa\Desktop\WebSlutProject\slutprojekt-TE22C-Baha-Fayad\Webbplats\kontakta-oss.html
----------------------------------------
20:52:03 Document switched to: c:\Users\bahaa\Desktop\WebSlutProject\slutprojekt-TE22C-Baha-Fayad\Webbplats\style.css
----------------------------------------

20:55:51 071:004 > m
20:55:51 071:005 > mi
20:55:53 071:004 > mih
20:55:53 071:005 > mihe
20:55:53 071:004 > height: ;
20:55:54 071:012 > 1
20:55:54 071:013 > 1+
20:55:54 071:014 > 1++
20:55:55 071:013 > 1++0
20:55:55 071:014 > 1++00
20:55:56 071:015 > 1++00v
20:55:56 071:016 > 1++00vh
20:55:57 071:012 > 100vh
20:56:00 071:013 > 3
20:56:01 071:012 > 35
20:56:02 071:013 > 350
20:56:03 071:014 > 350b
20:56:04 071:014 > 350bv
20:56:32 083:004 > height: 50vh;

20:56:54 083:004 > m
20:56:55 083:005 > mn
20:56:56 083:005 > mno
20:56:56 083:005 > mnoi
20:56:56 083:006 > mnoin
20:56:57 083:007 > mnoin-
21:15:02 Document switched to: c:\Users\bahaa\Desktop\WebSlutProject\slutprojekt-TE22C-Baha-Fayad\Webbplats\hem.html
----------------------------------------
21:15:08 Document switched to: c:\Users\bahaa\Desktop\WebSlutProject\slutprojekt-TE22C-Baha-Fayad\Webbplats\style.css
----------------------------------------
21:16:01 Document switched to: c:\Users\bahaa\Desktop\WebSlutProject\slutprojekt-TE22C-Baha-Fayad\Webbplats\hem.html
----------------------------------------
21:16:26 Document switched to: c:\Users\bahaa\Desktop\WebSlutProject\slutprojekt-TE22C-Baha-Fayad\Webbplats\kontakta-oss.html
----------------------------------------
21:19:25 Document switched to: c:\Users\bahaa\Desktop\WebSlutProject\slutprojekt-TE22C-Baha-Fayad\Webbplats\style.css
----------------------------------------
21:55:58 102:004 > width: 200px;
    height: 200px;
    position: absolute;
    top:0;
    bottom: 0;
    left: 0;
    right: 0;
    margin: auto;

22:02:43 000:000 > s
22:02:43 000:001 > se
22:02:43 000:002 > set
22:02:44 000:003 > setu
22:02:44 000:004 > setup
22:02:44 000:006 > setup t
22:02:44 000:007 > setup ti
22:02:44 000:008 > setup til
22:02:45 000:009 > setup till
22:02:45 000:011 > setup till k
22:02:45 000:012 > setup till ko
22:02:45 000:013 > setup till kon
22:02:46 000:014 > setup till kona
22:02:47 000:014 > setup till konat
22:02:47 000:015 > setup till konata
22:02:47 000:016 > setup till konatak
22:02:47 000:017 > setup till konatakt
22:02:47 000:018 > setup till konatakta
22:02:48 000:020 > setup till konatakta o
22:02:48 000:021 > setup till konatakta os
22:02:48 000:022 > setup till konatakta oss
22:02:54 024:000 > </nav>
        <main>
            <form action="/action_page.php">
                <label for="fname">Förnamn:</label>
                <input type="text" id="fname" name="fname"><br><br>
                <label for="lname">Efternamn:</label>
                <input type="text" id="lname" name="lname"><br><br>
                <label for="email">Email:</label>
                <input type="email" id="email" name="email"><br><br>
                <label for="Kommentar">Kommentar:</label>
                <textarea type="text" id="Kommentar" name="Kommentar"></textarea>
                <input type="submit" value="Skicka">
              </form>
22:02:54 037:001 > body {
    background-color: var(--celadon-2);
}

.kontainer {
    font-family: system-ui, -apple-system, BlinkMacSystemFont, 'Segoe UI', Roboto, Oxygen, Ubuntu, Cantarell, 'Open Sans', 'Helvetica Neue', sans-serif;
    font-weight: 900;
    text-align: center;
    display: grid;
    grid-template-areas:
        "Header Header"
        "Nav Nav"
        "Main Main"
        "Footer Footer";
    background-color: var(--celadon-2);
}

.kontainer header {
    grid-area: Header;
    font-size: Clamp(20px, 5vw, 36px);
}

.kontainer header a {
    text-decoration: none;
    color: var(--dark-green);
}

.kontainer nav {
    display: flex;
    align-items: center;
    grid-area: Nav;
    padding: 15px;
    
}


.kontainer .ikon img {
    width: 50px;
}

.kontainer .alternativ {
    flex-grow: 1;
    display: flex;
    justify-content: center;
}

.kontainer nav .alternativ a {
    transition: all 100ms;
    text-decoration: none;
    margin: 0 10px;
    padding: 15px;
    color: var(--celadon-2);
    background-color: var(--dark-green);
    border-radius: 5px;
    border: 4px solid transparent;
}

.kontainer nav .alternativ a:hover {
    border-color: white;
}

.kontainer main {
    grid-area: Main;
}



.kontainer main .innehåll {
    font-size: 19px;
    position: relative;
}

.kontainer main .alternativ-kontainer {
    color: var(--dark-green);
    border-radius: 3px;
    font-size: Clamp(1rem, 2.3vw, 1.5rem);
    position: absolute;
    top: 50%;
    left: 50%;
    transform: translate(-50%, -50%);
    padding: 3%;
    text-align: center;
    border: solid 5px var(--sea-green);
    background-color: rgba(149, 213, 178, 0.6);
}

.kontainer main .alternativ-kontainer a {
    font-size: Clamp(1rem, 2.3vw, 1.5rem);
    transition: all 100ms;
    text-decoration: none;
    display: block;
    color: var(--dark-green);
    border: Clamp(3px, 0.3vw, 5px) solid var(--dark-green);
    padding: 2% 4%;
    width: fit-content;
    /* att elementen bara tar platsen de behöver.*/
    margin: 10px auto;
}

.kontainer main .alternativ-kontainer a:hover {
    border: 0.3vw solid white;
}

.kontainer main img {
    display: block;
    width: 100%;

}

.kontainer footer {
    grid-area: Footer;
}

.kontainer nav .alternativ .aktiv-sida {
    color: white
}

.kontainer main .innehåll .om-oss {
    margin: 0 auto 0 auto;
    width: 50%;
}

@media(max-width: 700px) {

    .kontainer .alternativ,
    .kontainer nav {
        flex-direction: column;
        gap: 10px;
    }

    .kontainer main .alternativ-kontainer {
        position: relative;

    }

    .kontainer main .innehåll {
        display: grid;
    }


}
22:03:48 Document switched to: c:\Users\bahaa\Desktop\WebSlutProject\slutprojekt-TE22C-Baha-Fayad\Webbplats\hem.html
----------------------------------------

22:03:51 035:044 > O
22:03:52 035:045 > Om
22:03:52 035:047 > Om o
22:03:52 035:048 > Om os
22:03:53 035:049 > Om oss
22:04:23 Document switched to: c:\Users\bahaa\Desktop\WebSlutProject\slutprojekt-TE22C-Baha-Fayad\Webbplats\style.css
----------------------------------------

22:04:28 047:013 > f
22:04:29 047:013 > flex

22:04:35 048:004 > f
22:04:35 048:005 > fl
22:04:35 048:006 > fle
22:04:35 048:007 > flex
22:04:36 048:008 > flexd
22:04:36 048:004 > flex-direction: ;
22:04:37 048:020 > column

22:05:43 142:004 > p
22:05:43 142:005 > po
22:05:43 142:006 > pos
22:05:44 142:004 > position: relative;
22:05:45 142:014 > a
22:05:45 142:015 > ab
22:05:46 142:014 > absolute
22:05:47 142:014 > f
22:05:47 142:015 > fi
22:05:47 142:016 > fix
22:05:47 142:014 > fixed

22:05:51 143:004 > b
22:05:51 143:005 > bo
22:05:52 143:006 > bot
22:05:52 143:004 > bottom: ;
22:05:52 143:012 > 0

22:06:04 142:014 > a
22:06:04 142:015 > ab
22:06:05 142:014 > absolute
22:06:10 142:014 > f
22:06:10 142:014 > fixed

22:06:14 144:004 > t
22:06:14 144:005 > to
22:06:16 144:004 > tol
22:06:16 144:005 > tole
22:06:16 144:004 > left: ;
22:06:17 144:010 > 5
22:06:18 144:011 > 50
22:06:19 144:012 > 50%
22:06:19 144:010 > 50%

22:06:29 145:004 > b
22:06:29 145:005 > ba
22:06:29 145:006 > bac
22:06:30 145:007 > back
22:06:30 145:004 > background-color: ;
22:06:32 145:022 > c
22:06:32 145:023 > cs
22:06:38 145:022 > csv
22:06:38 145:023 > csva
22:06:39 145:022 > var()
22:06:40 145:026 > --celadon

22:06:45 142:004 > d
22:06:45 142:005 > di
22:06:45 142:006 > dis
22:06:47 142:004 > display: inline;
22:06:49 142:013 > b
22:06:50 142:014 > bl
22:06:50 142:015 > blo
22:06:50 142:013 > block
22:07:07 142:004 > w
22:07:08 142:005 > wi
22:07:08 142:006 > wid
22:07:08 142:004 > width: ;
22:07:08 142:011 > 1
22:07:08 142:012 > 10
22:07:09 142:013 > 100
22:07:09 142:014 > 100%
22:07:09 142:011 > 100%

22:08:08 095:004 > m
22:08:08 095:005 > ma
22:08:09 095:006 > mai
22:08:09 095:007 > main
22:08:09 095:008 > maine
22:08:09 095:009 > mainer
22:08:14 095:004 > mainerp
22:08:14 095:005 > mainerpo
22:08:15 095:006 > mainerpos
22:08:15 095:004 > position: relative;
22:08:16 095:014 > f
22:08:16 095:015 > fi
22:08:16 095:014 > fixed
22:08:19 095:014 > s
22:08:19 095:015 > st
22:08:19 095:014 > static
22:08:21 095:017 > i
22:08:22 095:016 > ii
22:08:22 095:014 > sticky
22:08:23 095:019 > c
22:08:23 095:019 > cy

22:08:25 096:004 > t
22:08:25 096:005 > to
22:08:25 096:006 > top
22:08:26 096:004 > top: ;
22:08:26 096:009 > 0
22:09:10 065:004 > position: sticky;
    top: 0;
22:09:28 062:004 > position: sticky;
    top: 0;
22:10:03 062:004 > position: sticky;
    top: 0;
22:10:21 Document switched to: c:\Users\bahaa\Desktop\WebSlutProject\slutprojekt-TE22C-Baha-Fayad\Webbplats\hem.html
----------------------------------------
22:10:35 Document switched to: c:\Users\bahaa\Desktop\WebSlutProject\slutprojekt-TE22C-Baha-Fayad\Webbplats\style.css
----------------------------------------
22:10:38 073:004 > position: sticky;
    top: 0;
22:10:52 075:004 > flex-grow: 1;
    display: flex;
22:10:55 073:004 > position: sticky;
    top: 0;
22:11:32 062:004 > position: sticky;
    top: 0;

22:11:51 064:004 > z
22:11:51 064:004 > z-index: ;
22:11:52 064:013 > 1

22:12:03 063:004 > b
22:12:03 063:005 > ba
22:12:03 063:006 > bac
22:12:04 063:004 > background-color: ;
22:12:10 063:022 > c
22:12:12 063:022 > cv
22:12:12 063:023 > cva
22:12:12 063:024 > cvar
22:12:12 063:022 > var()
22:12:14 063:026 > --celadon-2
22:14:09 078:004 > flex-grow: 1;

22:14:18 077:004 > f
22:14:18 077:005 > fl
22:14:18 077:006 > fle
22:14:19 077:004 > flex-direction: ;
22:14:21 077:020 > r
22:14:21 077:021 > ro
22:14:21 077:020 > row
22:14:24 077:020 > c
22:14:24 077:021 > co
22:14:24 077:020 > column
22:14:27 077:020 > co
22:14:30 077:020 > co
22:14:30 077:020 > column

22:15:17 068:004 > b
22:15:17 068:005 > bo
22:15:18 068:006 > bor
22:15:18 068:007 > bord
22:15:18 068:008 > bordb
22:15:18 068:009 > bordbo
22:15:18 068:004 > border-bottom: ;
22:15:19 068:019 > s
22:15:19 068:020 > so
22:15:20 068:021 > sol
22:15:20 068:019 > solid
22:15:25 068:025 >  2
22:15:26 068:026 >  2p
22:15:26 068:027 >  2px
22:15:27 068:025 >  2px3
22:15:27 068:026 >  2px33
22:15:28 068:026 >  2px33p
22:15:28 068:027 >  2px33px
22:15:32 068:029 >  2px33px v
22:15:33 068:030 >  2px33px va
22:15:33 068:031 >  2px33px var
22:15:33 068:029 > var()
22:15:34 068:033 > --dark-green

22:16:01 149:035 > -
22:16:01 149:036 > -2
22:16:02 149:026 > --celadon-2
22:16:23 Document switched to: c:\Users\bahaa\Desktop\WebSlutProject\slutprojekt-TE22C-Baha-Fayad\Webbplats\hem.html
----------------------------------------
22:16:43 Document switched to: c:\Users\bahaa\Desktop\WebSlutProject\slutprojekt-TE22C-Baha-Fayad\Webbplats\style.css
----------------------------------------

22:16:56 067:004 > m
22:16:56 067:005 > ma
22:16:57 067:006 > mar
22:16:57 067:007 > marg
22:16:57 067:004 > margin: ;
22:16:58 067:012 > 1
22:16:58 067:013 > 10
22:16:59 067:012 > 105
22:16:59 067:013 > 105p
22:17:00 067:014 > 105px
22:17:00 067:012 > 5px
22:17:03 067:012 > 5px
22:17:04 067:012 > 10
22:17:04 067:004 > marg
22:17:05 067:000 > padding: 15px;

22:17:46 077:017 > 0

22:17:48 078:004 > f
22:17:49 078:005 > fl
22:17:49 078:006 > fle
22:17:49 078:007 > flex
22:17:50 078:004 > flex-direction: ;
22:17:54 078:020 > r
22:17:54 078:021 > ro
22:17:55 078:020 > row
22:18:01 078:018 > :
22:18:03 078:008 > :-
22:18:07 078:004 > flex-flow: ;
22:18:08 078:015 > column
22:18:13 078:013 > :
22:18:17 078:014 > :w
22:18:17 078:015 > :wr
22:18:17 078:014 > wrap
22:18:20 078:014 > wr
22:18:22 078:013 > :
22:18:26 078:014 > row-reverse
22:18:31 078:013 > :

22:19:06 077:004 > b
22:19:07 077:005 > bl
22:19:07 077:006 > blo
22:19:07 077:007 > bloc
22:19:09 077:007 > blocc
22:19:09 077:008 > blocck
22:19:10 077:004 > blocckd
22:19:10 077:005 > blocckdi
22:19:11 077:006 > blocckdip
22:19:11 077:004 > display: ;
22:19:12 077:013 > b
22:19:12 077:014 > bl
22:19:13 077:013 > block
22:19:42 077:013 > bl
22:19:43 077:004 > dip
22:19:43 077:004 > block
22:19:43 077:007 > c
22:19:44 077:000 > flex-grow: 1;
22:19:45 077:000 > flex-flow:;
22:19:45 077:000 > display: flex;

22:19:46 078:013 > :
22:19:47 078:013 > ::
22:19:47 078:013 > :::
22:19:47 078:004 > flex-
22:20:16 Document switched to: c:\Users\bahaa\Desktop\WebSlutProject\slutprojekt-TE22C-Baha-Fayad\Webbplats\hem.html
----------------------------------------
22:20:19 019:016 > <img src="./bilder/679821.png" alt="ikon">
22:20:31 018:012 > <img src="./bilder/679821.png" alt="ikon">
22:20:35 016:016 > <img src="./bilder/679821.png" alt="ikon">
22:20:43 019:016 > <img src="./bilder/679821.png" alt="ikon">
22:20:47 Document switched to: c:\Users\bahaa\Desktop\WebSlutProject\slutprojekt-TE22C-Baha-Fayad\Webbplats\style.css
----------------------------------------
22:21:03 Document switched to: c:\Users\bahaa\Desktop\WebSlutProject\slutprojekt-TE22C-Baha-Fayad\Webbplats\hem.html
----------------------------------------
22:21:05 Document switched to: c:\Users\bahaa\Desktop\WebSlutProject\slutprojekt-TE22C-Baha-Fayad\Webbplats\style.css
----------------------------------------

22:21:10 072:011 > n
22:21:10 072:012 > na
22:21:10 072:013 > nav
22:21:16 072:015 > nav a
22:21:16 072:016 > nav aö
22:21:17 072:016 > nav aöl
22:21:17 072:017 > nav aöle
22:21:18 072:018 > nav aölet
22:21:18 072:015 > .alternativ
22:21:40 Document switched to: c:\Users\bahaa\Desktop\WebSlutProject\slutprojekt-TE22C-Baha-Fayad\Webbplats\hem.html
----------------------------------------
22:21:41 016:016 > <img src="./bilder/679821.png" alt="ikon">
22:21:42 Document switched to: c:\Users\bahaa\Desktop\WebSlutProject\slutprojekt-TE22C-Baha-Fayad\Webbplats\style.css
----------------------------------------
22:21:43 072:015 > alet
22:21:43 072:016 > ö
22:21:44 072:015 > ö.
22:21:44 072:016 > ikon
23:03:45 Document switched to: c:\Users\bahaa\Desktop\WebSlutProject\slutprojekt-TE22C-Baha-Fayad\Webbplats\hem.html
----------------------------------------
23:03:47 Document switched to: c:\Users\bahaa\Desktop\WebSlutProject\slutprojekt-TE22C-Baha-Fayad\Webbplats\style.css
----------------------------------------

23:04:48 150:004 > b
23:04:48 150:005 > bo
23:04:48 150:006 > bor
23:04:48 150:007 > bord
23:04:48 150:008 > borde
23:04:48 150:009 > border
23:04:49 150:010 > bordert
23:04:49 150:011 > borderto
23:04:50 150:004 > border-top: ;
23:04:51 150:016 > s
23:04:51 150:017 > so
23:04:51 150:018 > sol
23:04:51 150:016 > solid
23:04:54 150:022 >  3
23:04:55 150:023 >  3p
23:04:55 150:024 >  3px
23:04:57 150:026 >  3px v
23:04:58 150:027 >  3px va
23:04:58 150:028 >  3px var
23:04:58 150:026 > var()
23:04:59 150:030 > --brunswick-green
23:05:01 150:030 > -
23:05:02 150:031 > --
23:05:02 150:032 > --d
23:05:02 150:033 > --da
23:05:02 150:034 > --dar
23:05:02 150:030 > --dark-green
23:05:03 150:036 > -
23:05:06 150:030 > --dark-green
23:07:15 075:000 > .kontainer nav .ikon
23:07:16 075:020 > {}

23:07:20 076:004 > d
23:07:21 076:005 > di
23:07:21 076:006 > dis
23:07:21 076:004 > display: ;
23:07:22 076:013 > f
23:07:22 076:014 > fl
23:07:22 076:015 > fle
23:07:22 076:013 > flex
23:09:09 Document switched to: c:\Users\bahaa\Desktop\WebSlutProject\slutprojekt-TE22C-Baha-Fayad\Webbplats\hem.html
----------------------------------------
23:09:12 009:004 > <meta name="description" content="Written by A.N. Author, Illustrated by V. Gogh, Price: $17.99, Length: 784 pages">

23:09:25 009:038 > Y
23:09:25 009:039 > YO
23:09:25 009:040 > YOu
23:09:25 009:041 > YOur
23:09:27 009:038 > YOurd
23:09:27 009:039 > YOurdi
23:09:28 009:040 > YOurdin
23:09:34 009:038 > YOurdin B
23:09:35 009:039 > YOurdin Bo
23:09:35 009:040 > YOurdin Box
23:09:35 009:042 > YOurdin Box D
23:09:36 009:043 > YOurdin Box De
23:09:36 009:044 > YOurdin Box Del
23:09:36 009:045 > YOurdin Box Deli
23:09:36 009:046 > YOurdin Box Deliv
23:09:36 009:047 > YOurdin Box Delive
23:09:37 009:048 > YOurdin Box Deliver
23:09:37 009:042 > Delivery
23:09:38 009:050 > ,
23:09:39 009:052 > , D
23:09:39 009:053 > , Di
23:09:39 009:054 > , Dit
23:09:39 009:055 > , Ditt
23:09:40 009:057 > , Ditt v
23:09:40 009:058 > , Ditt va
23:09:40 009:059 > , Ditt val
23:09:40 009:061 > , Ditt val a
23:09:41 009:062 > , Ditt val at
23:09:41 009:063 > , Ditt val att
23:09:44 009:065 > , Ditt val att l
23:09:45 009:066 > , Ditt val att le
23:09:45 009:067 > , Ditt val att lev
23:09:45 009:068 > , Ditt val att leve
23:09:46 009:069 > , Ditt val att lever
23:09:46 009:070 > , Ditt val att levere
23:09:47 009:071 > , Ditt val att leverer
23:09:47 009:072 > , Ditt val att leverera
23:09:49 009:074 > , Ditt val att leverera k
23:09:49 009:075 > , Ditt val att leverera kv
23:09:50 009:076 > , Ditt val att leverera kva
23:09:50 009:077 > , Ditt val att leverera kval
23:09:50 009:078 > , Ditt val att leverera kvali
23:09:50 009:079 > , Ditt val att leverera kvalit
23:09:50 009:080 > , Ditt val att leverera kvalite
23:09:51 009:081 > , Ditt val att leverera kvalitet
23:09:52 009:083 > , Ditt val att leverera kvalitet f
23:09:52 009:084 > , Ditt val att leverera kvalitet fö
23:09:52 009:085 > , Ditt val att leverera kvalitet för
23:09:53 009:087 > , Ditt val att leverera kvalitet för b
23:09:53 009:088 > , Ditt val att leverera kvalitet för bå
23:09:53 009:089 > , Ditt val att leverera kvalitet för båd
23:09:54 009:090 > , Ditt val att leverera kvalitet för både
23:09:54 009:092 > , Ditt val att leverera kvalitet för både k
23:09:55 009:093 > , Ditt val att leverera kvalitet för både kv
23:09:55 009:094 > , Ditt val att leverera kvalitet för både kva
23:09:55 009:095 > , Ditt val att leverera kvalitet för både kval
23:09:55 009:096 > , Ditt val att leverera kvalitet för både kvali
23:09:56 009:097 > , Ditt val att leverera kvalitet för både kvalit
23:09:56 009:098 > , Ditt val att leverera kvalitet för både kvalite
23:09:57 009:099 > , Ditt val att leverera kvalitet för både kvalitet
23:10:00 009:092 > , Ditt val att leverera kvalitet för både kvalitetl
23:10:00 009:093 > , Ditt val att leverera kvalitet för både kvalitetle
23:10:00 009:094 > , Ditt val att leverera kvalitet för både kvalitetlev
23:10:00 009:095 > , Ditt val att leverera kvalitet för både kvalitetleve
23:10:00 009:096 > , Ditt val att leverera kvalitet för både kvalitetlever
23:10:00 009:097 > , Ditt val att leverera kvalitet för både kvalitetlevera
23:10:01 009:098 > , Ditt val att leverera kvalitet för både kvalitetleveran
23:10:01 009:099 > , Ditt val att leverera kvalitet för både kvalitetleverans
23:10:07 009:109 > , Ditt val att leverera kvalitet för både kvalitetleverans   o
23:10:07 009:110 > , Ditt val att leverera kvalitet för både kvalitetleverans   oc
23:10:07 009:111 > , Ditt val att leverera kvalitet för både kvalitetleverans   och
23:10:39 009:074 > , Ditt val att leverera kvalitet för både kvalitetleverans   och  p
23:10:40 009:075 > , Ditt val att leverera kvalitet för både kvalitetleverans   och  pa
23:10:40 009:076 > , Ditt val att leverera kvalitet för både kvalitetleverans   och  pak
23:10:40 009:077 > , Ditt val att leverera kvalitet för både kvalitetleverans   och  pake
23:10:40 009:078 > , Ditt val att leverera kvalitet för både kvalitetleverans   och  paket
23:10:41 009:074 > paket
23:11:07 009:110 >  t
23:11:08 009:111 >  ti
23:11:08 009:112 >  til
23:11:08 009:113 >  till
23:11:09 009:114 >  tillä
23:11:09 009:115 >  tillän
23:11:09 009:116 >  tilläng
23:11:10 009:117 >  tillängl
23:11:10 009:118 >  tillängli
23:11:10 009:119 >  tillänglig
23:11:10 009:120 >  tillängligh
23:11:11 009:121 >  tillänglighe
23:11:11 009:122 >  tillänglighet
23:11:11 009:123 >  tillänglighet.
23:12:32 017:016 > <div class="ikon">
                <img src="./bilder/679821.png" alt="ikon">
            </div>
23:13:03 Document switched to: c:\Users\bahaa\Desktop\WebSlutProject\slutprojekt-TE22C-Baha-Fayad\Webbplats\style.css
----------------------------------------

23:13:05 073:011 > 2
23:13:05 073:012 > 25
23:13:08 073:011 > 255
23:13:09 073:012 > 2550
23:13:18 073:011 > 25507
23:13:19 073:011 > 255075
23:13:19 073:012 > 2550759

23:14:22 076:004 > -
23:14:23 076:004 > -f
23:14:23 076:005 > -fe
23:14:24 076:005 > -fel
23:14:24 076:006 > -fele
23:14:24 076:007 > -felex
23:14:28 076:008 > -felexa
23:14:28 076:009 > -felexal
23:14:29 076:004 > -ms-flex-align: ;
23:14:29 076:020 > s
23:14:30 076:020 > start
23:14:36 076:004 > s
23:14:37 076:005 > se
23:14:37 076:006 > se,
23:14:38 076:005 > se,e
23:14:38 076:006 > se,el
23:14:38 076:007 > se,elf
23:14:39 076:004 > align-self: ;
23:14:41 076:016 > s
23:14:41 076:017 > st
23:14:45 076:016 > self-start
23:14:48 076:016 > l
23:14:48 076:017 > le
23:14:48 076:018 > lef
23:14:49 076:014 > lef:
23:14:51 076:015 > center
23:14:55 076:014 > :
23:15:01 076:004 > :a
23:15:02 076:004 > :ao
23:15:02 076:005 > :aoc
23:15:03 076:004 > :aocc
23:15:03 076:005 > :aocco
23:15:03 076:006 > :aoccon
23:15:04 076:007 > :aoccont
23:15:04 076:008 > :aocconte
23:15:04 076:004 > content:
23:15:05 076:013 > a
23:15:05 076:014 > al
23:15:07 076:011 > al-
23:15:07 076:012 > al-a
23:15:07 076:013 > al-al
23:15:08 076:004 > al-ala
23:15:08 076:005 > al-alal
23:15:09 076:006 > al-alali
23:15:09 076:007 > al-alalig
23:15:12 076:004 > align-content:
23:15:15 076:019 > f
23:15:15 076:020 > fl
23:15:16 076:019 > flex-end
23:15:18 076:024 > s
23:15:18 076:025 > st
23:15:18 076:026 > sta
23:15:19 076:019 > flex-start
23:15:22 076:019 > s
23:15:23 076:020 > st
23:15:23 076:021 > sta
23:15:25 076:019 > start

23:16:17 170:008 > p
23:16:18 170:009 > pa
23:16:18 170:010 > pad
23:16:18 170:011 > padd
23:16:19 170:008 > padding: ;
23:16:22 170:017 > 0%
23:16:28 170:008 > padd

23:16:34 171:004 > .
23:16:34 171:005 > .l
23:16:35 171:006 > .lp
23:16:35 171:005 > .lpk
23:16:36 171:004 > .kontainer
23:16:36 171:014 > .
23:16:37 171:015 > . .
23:16:38 171:017 > . . a
23:16:39 171:016 > . . aa
23:16:39 171:017 > . . aal
23:16:40 171:016 > . . aaln
23:16:40 171:017 > . . aalna
23:16:42 171:016 > . . aalnaa
23:16:42 171:017 > . . aalnaal
23:16:42 171:018 > . . aalnaalt
23:16:42 171:015 > .alternativ
23:16:44 171:027 >  .
23:16:50 171:027 >  .a
23:16:51 171:028 > {}

23:16:54 172:008 > p
23:16:54 172:009 > pa
23:16:54 172:010 > pad
23:16:55 172:011 > padd
23:16:55 172:008 > padding: ;
23:16:55 172:017 > 0
23:17:39 172:017 > 04
23:17:40 172:018 > 04%
23:17:43 172:017 > 04%5
23:17:43 172:018 > 04%50
23:17:44 172:019 > 04%50%
23:17:48 172:019 > 04%50%p
23:17:49 172:020 > 04%50%px
23:17:51 172:020 > 04%50%pxx
23:17:51 172:017 > 50px

23:18:04 171:015 > n
23:18:04 171:016 > na
23:18:05 171:017 > nav

23:18:18 172:008 > p
23:18:18 172:009 > pa
23:18:18 172:010 > pad
